reporting_org_ref,registry_id,org_type,org_name,abbreviation,usability_score,tracker_commit,tracker_spend,latest_txn_year,hq_country,CRS_codes,IATI_organisation_type,IATI_organisation_name,country
US-USAGOV,unitedstates,Bilateral,US - The Federal Government of the United States,,C1D0,No,No,2021,US,All excl 302*1 & 302*18,Government,United States,US
GB-9,dwp,Bilateral,UK - Department for Work and Pensions,DWP, ,,,#N/A,GB,,Government,UK - Department for Work and Pensions,
XI-IATI-EBRD,ebrd,IFI,European Bank for Reconstruction and Development,EBRD,C2D2,Yes,Yes,2021,,,Multilateral,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development
XI-IATI-EC_ECHO,ec-echo,Bilateral,EC - European Civil Protection and Humanitarian Aid Operations,ECHO,C2D2,Yes,Yes,2021,,,Other Public Sector,European Commission - Humanitarian Aid & Civil Protection,European Commission
GB-GOV-2,hmtfitb,Bilateral,UK - HM Treasury,, ,,,2019,GB,,Government,HM Treasury,
XI-IATI-EC_FPI,ec-fpi,Bilateral,EC - Service for Foreign Policy Instruments,FPI,C2D2,Yes,Yes,2021,,,Other Public Sector,European Commission - Service for Foreign Policy Instruments,European Commission
GB-COH-RC000346,mrc,Bilateral,UK - Medical Research Council,, ,,,2013,GB,,Government,UK - Medical Research Council,
GB-GOV-8,ukmod,Bilateral,UK - Ministry of Defence,MOD, ,,,2019,GB,12*8,Government,UK - Ministry of Defence,
GB-GOV-24,ons,Bilateral,UK - Office for National Statistics,ONS, ,,,2021,GB,,Government,Office for National Statistics,
GB-GOV-21,scottish_government,Bilateral,UK - Scottish Government,, ,,,2014,GB,,Government,UK - Scottish Government,
XI-IATI-EC_NEAR,ec-near,Bilateral,EC - Directorate-General for Neighbourhood and Enlargement Negotiations,DG NEAR,C2D2,Yes,Yes,2021,,,Other Public Sector,European Commission - Neighbourhood and Enlargement Negotiations,European Commission
XI-IATI-EC_INTPA,,Bilateral,EC - International Partnerships,INTPA,,Yes,Yes,2021,,,,,European Commission
XI-IATI-IADB,iadb,IFI,Inter-American Development Bank,IADB,C2D2,Yes,Yes,2021,,,Multilateral,Inter-American Development Bank,Inter-American Development Bank
XI-IATI-MIF,fomin,Multilateral,Multilateral Investment Fund,,C2D2,Yes,Yes,2021,US,,Multilateral,Multilateral Investment Fund,Multilateral Investment Fund
NL-KVK-34185938,atmf,Foundation,Access to Medicine Foundation,, ,,,2021,NL,,Foundation,Access to Medicine Foundation,
AF-MOE-138,akf_afghanistan,Foundation,Aga Khan Foundation Afghanistan,, ,,,2020,AF,,Foundation,Aga Khan Foundation Afghanistan,
NL-KVK-27248417,aqua4all,Foundation,Aqua for All,, ,,,2020,NL,,Foundation,Aqua for All,
LB-MOI-26_AD,berytech,Foundation,Berytech Foundation,, ,,,2019,LB,,Foundation,Berytech Foundation,
DAC-1601,bmgf,Foundation,Bill & Melinda Gates Foundation,, ,,,2021,US,,Foundation,Bill & Melinda Gates Foundation,
NL-KVK-50744984,bopinc,Foundation,BoP Innovation Center,, ,,,2021,NL,,Foundation,BoP Innovation Center,
NL-KVK-41166983,cilc,Foundation,Center for International Legal Cooperation (CILC),, ,,,2021,NL,,Foundation,Center for International Legal Cooperation (CILC),
CH-FDJP-CHE-105181636,hdcentre,Foundation,Centre for Humanitarian Dialogue (HD Centre),, ,,,2021,CH,,Foundation,Centre for Humanitarian Dialogue (HD Centre),
GB-CHC-326568,cprojects,Foundation,Charity Projects Ltd (Comic Relief),, ,,,2020,GB,,Foundation,Charity Projects Ltd (Comic Relief),
CH-FDJP-109458452,dcaf,Foundation,DCAF - Geneva Centre for Security Sector Governance,, ,,,2021,CH,,Foundation,DCAF - Geneva Centre for Security Sector Governance,
GB-CHC-1017336,ejaf,Foundation,Elton John AIDS Foundation,, ,,,2021,GB,,Foundation,Elton John AIDS Foundation,
AM-SRALE-222.160.00823,epf,Foundation,Eurasia Partnership Foundation,, ,,,2020,AM,,Foundation,Eurasia Partnership Foundation,
NI-MIGOB-3602,fcam,Foundation,Fondo Centroamericano de Mujeres,, ,,,2020,NI,,Foundation,Fondo Centroamericano de Mujeres,
NL-KVK-34308169,freeagirl,Foundation,Free a Girl,, ,,,2021,NL,,Foundation,Free a Girl,
AR-CENOC-16969-A,fms,Foundation,Fundaci�_n Fondo Mujeres del Sur,, ,,,2021,AR,,Foundation,Fundaci�_n Fondo Mujeres del Sur,
CH-FDJP-CHE109506789,gichd,Foundation,Geneva International Centre for Humanitarian Demining,, ,,,2021,CH,,Foundation,Geneva International Centre for Humanitarian Demining,
GB-NIC-073343,gfcf,Foundation,Global Fund for Community Foundations,, ,,,2021,GB,,Foundation,Global Fund for Community Foundations,
NL-KVK-70048436,grc2018,Foundation,Global Rights Compliance,, ,,,2020,NL,,Foundation,Global Rights Compliance,
US-EIN-37-1552838,gsma_foundation,Foundation,GSMA Foundation,, ,,,2021,US,,Foundation,GSMA Foundation,
NL-KVK-58183167,hefoundation,Foundation,HE Foundation,, ,,,2020,NL,,Foundation,HE Foundation,
NL-KVK-27290536,hiil_mfa,Foundation,HiiL innovating Justice,, ,,,2018,NL,,Foundation,HiiL innovating Justice,
NL-KVK-70292388,iif,Foundation,Index Initiative Foundation,, ,,,2018,NL,,Foundation,Index Initiative Foundation,
GB-CHC-1075920,indtrust,Foundation,Indigo Trust,, ,,,2018,GB,,Foundation,Indigo Trust,
PE-SUNARP-12623829,fimi_iiwf_2019,Foundation,International Indigenous Women Forum,, ,,,2021,PE,,Foundation,International Indigenous Women Forum,
XI-IATI-KHF,khf,Foundation,King Hussein Foundation,, ,,,#N/A,JO,,Foundation,King Hussein Foundation,
CH-FDJP-CHE109668357,lemann,Foundation,Lemann Foundation,, ,,,2021,CH,,Foundation,Lemann Foundation,
US-EIN-82-3941326,luminate,Foundation,Luminate Foundation Inc.,, ,,,2021,US,,Foundation,Luminate Foundation Inc.,
NL-KVK-41145371,msm-ipd,Foundation,Maastricht School of Management,, ,,,2019,NL,,Foundation,Maastricht School of Management,
NL-KVK-41209946,mainline,Foundation,Mainline,, ,,,2021,NL,,Foundation,Mainline,
NL-KVK-41202535,mamac,Foundation,Mama Cash,, ,,,2021,NL,,Foundation,Mama Cash,
